module_id,module_name,baseline_hours,complexity_low,complexity_medium,complexity_high,notes
dashboard,Dashboard,40,0.8,1,1.3,General dashboard for any system
user_management,User Management,30,0.8,1,1.5,Login, roles, basic permissions
crud_module,CRUD Module,16,0.8,1,1.2,Create/read/update/delete functions
ai_assistant,AI Assistant,35,1,1.4,2,Natural language automation/queries
api_integration,Integration/API Setup,20,1,1.3,1.8,For each third-party integration
database_setup,Database Setup,12,1,1.1,1.2,Schema + deployment
automation_workflow,Automation Workflow,14,1,1.2,1.5,Workflow automation logic
reporting_analytics,Reporting & Analytics,30,1,1.3,1.8,Charts, KPI dashboards
notifications,Notifications System,20,1,1.1,1.3,Email/SMS/WhatsApp alerts
nlp_processing,NLP Processing,22,1,1.2,1.5,Any text-analysis requirement
frontend_page,Frontend Page,8,1,1,1.2,Single functional UI page
support_and_training,Support & Training,10,1,1,1.2,Client onboarding
